axis,coefficient,value,rmse,r2,active_lower_bounds,condition_number_scaled
surge_x,added_mass_u_dot,27.3526966284,7.8922875151135665,0.8394437910742691,,8.790825918065387
surge_x,linear_damping_u,32.5884018501,7.8922875151135665,0.8394437910742691,,8.790825918065387
surge_x,quadratic_damping_u,166.742609961,7.8922875151135665,0.8394437910742691,,8.790825918065387
surge_x,bias_force_x,-1.08187637103,7.8922875151135665,0.8394437910742691,,8.790825918065387
sway_y,added_mass_v_dot,0,1.8529625610171316,0.09307495731818816,added_mass_v_dot,5.035387763136921
sway_y,linear_damping_v,6.97607269591,1.8529625610171316,0.09307495731818816,added_mass_v_dot,5.035387763136921
sway_y,quadratic_damping_v,59.2137441878,1.8529625610171316,0.09307495731818816,added_mass_v_dot,5.035387763136921
sway_y,bias_force_y,1.19276491774,1.8529625610171316,0.09307495731818816,added_mass_v_dot,5.035387763136921
heave_z,added_mass_w_dot,77.7420034571,7.048319648292644,0.5434093480289075,,4.859624976775854
heave_z,linear_damping_w,107.883644876,7.048319648292644,0.5434093480289075,,4.859624976775854
heave_z,quadratic_damping_w,75.3893009243,7.048319648292644,0.5434093480289075,,4.859624976775854
heave_z,net_buoyancy_minus_weight,12.2174413925,7.048319648292644,0.5434093480289075,,4.859624976775854
heave_z,depth_stiffness_about_mean,-39.0848825838,7.048319648292644,0.5434093480289075,,4.859624976775854
roll_k,added_inertia_p_dot,4.8101464215,2.2649120175109703,0.06596930137725576,,4.6399382973133845
roll_k,linear_damping_p,3.58614617321,2.2649120175109703,0.06596930137725576,,4.6399382973133845
roll_k,quadratic_damping_p,5.80502399352,2.2649120175109703,0.06596930137725576,,4.6399382973133845
roll_k,restoring_roll,3.50547703712,2.2649120175109703,0.06596930137725576,,4.6399382973133845
roll_k,bias_torque_roll,-0.808704590239,2.2649120175109703,0.06596930137725576,,4.6399382973133845
pitch_m,added_inertia_q_dot,1.68336086108,1.7296467165608223,0.024814694189179143,linear_damping_q;quadratic_damping_q,4.9735734160266105
pitch_m,linear_damping_q,0,1.7296467165608223,0.024814694189179143,linear_damping_q;quadratic_damping_q,4.9735734160266105
pitch_m,quadratic_damping_q,0,1.7296467165608223,0.024814694189179143,linear_damping_q;quadratic_damping_q,4.9735734160266105
pitch_m,restoring_pitch,0.529500221012,1.7296467165608223,0.024814694189179143,linear_damping_q;quadratic_damping_q,4.9735734160266105
pitch_m,bias_torque_pitch,0.606582779097,1.7296467165608223,0.024814694189179143,linear_damping_q;quadratic_damping_q,4.9735734160266105
yaw_n,added_inertia_r_dot,2.30969645917,1.8875765076921411,0.6409403570429678,,5.545437174158643
yaw_n,linear_damping_r,6.08205704113,1.8875765076921411,0.6409403570429678,,5.545437174158643
yaw_n,quadratic_damping_r,0.0316943208645,1.8875765076921411,0.6409403570429678,,5.545437174158643
yaw_n,bias_torque_yaw,-0.266978233352,1.8875765076921411,0.6409403570429678,,5.545437174158643
